Rider,	Split1,	Split2,	Split3,	Split4,	Speed,	Lap,	Time,	
41,	5127,	30908,	30933,	37348,	236.3,	144316,	94943160,	
41,	5122,	34203,	36675,	39256,	227.8,	155256,	95138416,	
41,	5118,	31009,	30927,	37398,	234.8,	144452,	95322868,	
43,	15232,	48594,	40965,	43983,	105.7,	228774,	93648616,	
43,	5424,	36205,	36844,	39565,	224.5,	158038,	93846654,	
43,	5277,	34195,	33757,	37595,	231.8,	150824,	94037478,	
43,	5118,	30786,	30333,	36817,	238.4,	143054,	94220532,	
43,	5052,	33323,	32278,	39839,	241.1,	150492,	94411024,	
43,	5140,	30287,	30200,	36818,	235.8,	142445,	94553469,	
43,	5141,	32357,	33536,	39368,	236.8,	150402,	94743871,	
43,	5136,	30491,	30453,	42760,	236.3,	148840,	94932711,	
43,	5129,	30494,	30357,	37030,	235.8,	143010,	95115721,	
43,	5123,	30775,	33185,	39568,	235.8,	148651,	95304372,	
46,	11508,	42325,	38037,	42003,	153.6,	213873,	93854066,	
46,	6076,	33778,	34320,	40346,	205.3,	154520,	94048586,	
46,	5932,	34813,	38594,	44432,	195.3,	203771,	94252357,	
46,	5158,	30996,	30155,	36965,	236.3,	143274,	94435631,	
46,	5153,	30538,	30163,	36955,	235.3,	142809,	94618440,	
46,	5151,	36281,	34949,	37921,	233.8,	154302,	94812742,	
46,	5173,	30663,	30112,	36950,	233.8,	142898,	94955640,	
46,	5144,	34061,	34830,	38794,	236.8,	152829,	95148469,	
46,	5139,	30677,	30052,	37150,	235.8,	143018,	95331487,	
51,	12395,	42311,	40188,	43048,	126.6,	217942,	93840742,	
51,	6252,	37947,	38538,	41495,	190.1,	204232,	94044974,	
51,	6300,	34841,	35049,	42978,	187.8,	159168,	94244142,	
51,	5165,	31142,	30478,	37055,	235.8,	143840,	94427982,	
51,	5207,	30608,	30243,	37121,	233.3,	143179,	94611161,	
51,	5173,	33771,	35054,	37679,	234.8,	151677,	94802838,	
51,	5215,	30628,	30452,	37225,	233.3,	143520,	94946358,	
51,	5177,	33074,	33235,	38220,	235.3,	149706,	95136064,	
51,	5199,	30788,	33208,	108737,	233.3,	217932,	95353996,	
62,	13951,	42623,	36324,	39917,	118.7,	212815,	93827357,	
62,	5655,	33041,	34206,	39789,	211.8,	152691,	94020048,	
62,	5693,	32177,	36649,	45701,	205.7,	200220,	94220268,	
62,	5169,	31379,	30454,	38666,	234.8,	145668,	94405936,	
62,	5166,	30659,	30061,	37385,	234.3,	143271,	94549207,	
62,	5155,	30609,	30151,	37457,	235.3,	143372,	94732579,	
62,	5185,	33811,	37818,	44405,	233.8,	201219,	94933798,	
62,	5143,	30752,	30169,	37204,	235.8,	143268,	95117066,	
62,	5133,	31439,	33347,	39426,	234.8,	149345,	95306411,	
64,	11047,	41849,	39796,	45042,	142.9,	217734,	93856471,	
64,	6205,	36682,	36703,	41324,	194.2,	200914,	94057385,	
64,	5575,	33798,	38846,	50094,	222.2,	208313,	94305698,	
64,	5176,	30795,	29996,	36982,	234.8,	142949,	94448647,	
64,	5167,	32180,	35641,	38926,	234.3,	151914,	94640561,	
64,	5198,	30524,	29871,	37105,	233.8,	142698,	94823259,	
64,	5163,	38698,	36541,	39620,	235.3,	200022,	95023281,	
64,	5163,	30446,	29925,	37167,	234.3,	142701,	95205982,	
64,	5158,	30439,	29743,	37104,	235.8,	142444,	95348426,	
77,	13939,	47395,	41104,	44366,	105.9,	226804,	93650360,	
